model,scope,method,route_fraction,accuracy,gain_vs_random,resume_saving,rerun_saving
r1,r1_core_3seed,learned_forest,0.2500,0.8754,+0.0726,0.3750,0.2500
r1,r1_core_3seed,random,0.3000,0.8076,+0.0000,0.3500,0.2000
r1,r1_core_3seed,cap_hit_rank,0.3000,0.8754,+0.0678,0.3500,0.2000
r1,r1_core_3seed,learned_logistic,0.3000,0.8758,+0.0682,0.3500,0.2000
r1,r1_core_3seed,learned_forest,0.3000,0.8754,+0.0678,0.3500,0.2000
r1,r1_core_3seed,random,0.3500,0.8124,+0.0000,0.3250,0.1500
r1,r1_core_3seed,cap_hit_rank,0.3500,0.8758,+0.0634,0.3250,0.1500
r1,r1_core_3seed,learned_logistic,0.3500,0.8758,+0.0634,0.3250,0.1500
r1,r1_core_3seed,learned_forest,0.3500,0.8758,+0.0634,0.3250,0.1500
r1,r1_core_3seed,random,0.4000,0.8174,+0.0000,0.3000,0.1000
r1,r1_core_3seed,cap_hit_rank,0.4000,0.8758,+0.0584,0.3000,0.1000
r1,r1_core_3seed,learned_logistic,0.4000,0.8758,+0.0584,0.3000,0.1000
r1,r1_core_3seed,learned_forest,0.4000,0.8758,+0.0584,0.3000,0.1000
r1,r1_core_3seed,random,0.4500,0.8222,+0.0000,0.2750,0.0500
r1,r1_core_3seed,cap_hit_rank,0.4500,0.8758,+0.0537,0.2750,0.0500
r1,r1_core_3seed,learned_logistic,0.4500,0.8762,+0.0541,0.2750,0.0500
r1,r1_core_3seed,learned_forest,0.4500,0.8762,+0.0541,0.2750,0.0500
r1,r1_core_3seed,random,0.5000,0.8271,+0.0000,0.2500,0.0000
r1,r1_core_3seed,cap_hit_rank,0.5000,0.8762,+0.0491,0.2500,0.0000
r1,r1_core_3seed,learned_logistic,0.5000,0.8762,+0.0491,0.2500,0.0000
r1,r1_core_3seed,learned_forest,0.5000,0.8762,+0.0491,0.2500,0.0000
r1,r1_core_3seed,random,0.5500,0.8323,+0.0000,0.2250,-0.0500
r1,r1_core_3seed,cap_hit_rank,0.5500,0.8762,+0.0440,0.2250,-0.0500
r1,r1_core_3seed,learned_logistic,0.5500,0.8762,+0.0440,0.2250,-0.0500
r1,r1_core_3seed,learned_forest,0.5500,0.8762,+0.0440,0.2250,-0.0500
r1,r1_core_3seed,random,0.6000,0.8371,+0.0000,0.2000,-0.1000
r1,r1_core_3seed,cap_hit_rank,0.6000,0.8762,+0.0391,0.2000,-0.1000
r1,r1_core_3seed,learned_logistic,0.6000,0.8762,+0.0391,0.2000,-0.1000
r1,r1_core_3seed,learned_forest,0.6000,0.8762,+0.0391,0.2000,-0.1000
r1,r1_core_3seed,random,0.6500,0.8419,+0.0000,0.1750,-0.1500
r1,r1_core_3seed,cap_hit_rank,0.6500,0.8762,+0.0344,0.1750,-0.1500
r1,r1_core_3seed,learned_logistic,0.6500,0.8762,+0.0344,0.1750,-0.1500
r1,r1_core_3seed,learned_forest,0.6500,0.8762,+0.0344,0.1750,-0.1500
r1,r1_core_3seed,random,0.7000,0.8467,+0.0000,0.1500,-0.2000
r1,r1_core_3seed,cap_hit_rank,0.7000,0.8762,+0.0295,0.1500,-0.2000
r1,r1_core_3seed,learned_logistic,0.7000,0.8762,+0.0295,0.1500,-0.2000
r1,r1_core_3seed,learned_forest,0.7000,0.8762,+0.0295,0.1500,-0.2000
r1,r1_core_3seed,random,0.7500,0.8518,+0.0000,0.1250,-0.2500
r1,r1_core_3seed,cap_hit_rank,0.7500,0.8762,+0.0244,0.1250,-0.2500
r1,r1_core_3seed,learned_logistic,0.7500,0.8762,+0.0244,0.1250,-0.2500
r1,r1_core_3seed,learned_forest,0.7500,0.8762,+0.0244,0.1250,-0.2500
r1,r1_core_3seed,random,0.8000,0.8568,+0.0000,0.1000,-0.3000
r1,r1_core_3seed,cap_hit_rank,0.8000,0.8762,+0.0194,0.1000,-0.3000
r1,r1_core_3seed,learned_logistic,0.8000,0.8762,+0.0194,0.1000,-0.3000
r1,r1_core_3seed,learned_forest,0.8000,0.8762,+0.0194,0.1000,-0.3000
r1,r1_core_3seed,random,0.8500,0.8615,+0.0000,0.0750,-0.3500
r1,r1_core_3seed,cap_hit_rank,0.8500,0.8762,+0.0148,0.0750,-0.3500
r1,r1_core_3seed,learned_logistic,0.8500,0.8762,+0.0148,0.0750,-0.3500
r1,r1_core_3seed,learned_forest,0.8500,0.8762,+0.0148,0.0750,-0.3500
r1,r1_core_3seed,random,0.9000,0.8664,+0.0000,0.0500,-0.4000
r1,r1_core_3seed,cap_hit_rank,0.9000,0.8762,+0.0098,0.0500,-0.4000
r1,r1_core_3seed,learned_logistic,0.9000,0.8762,+0.0098,0.0500,-0.4000
r1,r1_core_3seed,learned_forest,0.9000,0.8762,+0.0098,0.0500,-0.4000
r1,r1_core_3seed,random,0.9500,0.8714,+0.0000,0.0250,-0.4500
r1,r1_core_3seed,cap_hit_rank,0.9500,0.8762,+0.0049,0.0250,-0.4500
r1,r1_core_3seed,learned_logistic,0.9500,0.8762,+0.0049,0.0250,-0.4500
r1,r1_core_3seed,learned_forest,0.9500,0.8762,+0.0049,0.0250,-0.4500
r1,r1_core_3seed,random,1.0000,0.8762,+0.0000,0.0000,-0.5000
r1,r1_core_3seed,cap_hit_rank,1.0000,0.8762,+0.0000,0.0000,-0.5000
r1,r1_core_3seed,learned_logistic,1.0000,0.8762,+0.0000,0.0000,-0.5000
r1,r1_core_3seed,learned_forest,1.0000,0.8762,+0.0000,0.0000,-0.5000
