model,scope,n_records,base_accuracy,extended_accuracy,cap_hit_fraction,n_routable_flips,n_routable_reversals,fixed_long_gain,learned_router_fitted
qwen,core_3seed,2400,0.8646,0.9033,0.2033,94,1,+0.0387,True
llama,core_3seed,2400,0.7671,0.7742,0.2154,22,5,+0.0071,True
qwen,full_split,6319,0.7935,0.8519,0.3236,377,8,+0.0584,True
llama,full_split,6319,0.6200,0.6291,0.3508,98,41,+0.0090,True
r1,r1_core_3seed,2400,0.7783,0.8762,0.5900,238,3,+0.0979,True
