dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,maj_acc_delta,maj_acc_delta_ci95,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,800,0.67625,0.78,0.02875,0.831875,0.155625,"[0.138,0.174]",0.87375,0.09375,"[0.074,0.115]",0.01875,0.86875,0.88125,0.09625,"[0.077,0.119]",0.0025,"[0.000,0.009]",0.21875,11,0.0,0,0,1,0.0,0.09090909090909091,"[0.000,0.285]",0.18181818181818182,"[0.023,0.518]",0.8831168831168831,0.0,0.11688311688311688,0.0,77
gsm8k,400,0.844375,0.8925,0.055,0.910625,0.06625,"[0.049,0.085]",0.92,0.0275,"[0.010,0.048]",0.0225,0.915,0.9275,0.0325,"[0.017,0.055]",0.005,"[0.001,0.018]",0.0475,6,0.0,0,0,1,0.0,0.16666666666666666,"[0.000,0.459]",0.3333333333333333,"[0.043,0.777]",0.3076923076923077,0.0,0.6923076923076923,0.0,13
math,400,0.508125,0.6675,0.0025,0.753125,0.245,"[0.216,0.275]",0.8275,0.16,"[0.125,0.198]",0.015,0.8225,0.835,0.16,"[0.125,0.200]",0.0,"[0.000,0.009]",0.39,5,0.0,0,0,0,0.0,0.0,"[0.000,0.522]",0.0,"[0.000,0.522]",1.0,0.0,0.0,0.0,64
