dataset,n,n_complete_wrong,base_plurality_accuracy,real_extended_plurality_accuracy,completed_only_control_accuracy,real_repairs_point,real_repairs_tie_lower,real_repairs_tie_upper,real_repair_ci95,control_repairs_point,control_repairs_tie_lower,control_repairs_tie_upper,control_repair_ci95,real_repairs_using_no_extra_tokens,control_censored_chain_rate
all,800,11,0.78,0.87375,0.73625,0,0,1,"[0.000,0.285]",0,0,1,"[0.000,0.285]",0,0.380625
gsm8k,400,6,0.8925,0.92,0.9,0,0,1,"[0.000,0.459]",0,0,1,"[0.000,0.459]",0,0.180625
math,400,5,0.6675,0.8275,0.5725,0,0,0,"[0.000,0.522]",0,0,0,"[0.000,0.522]",0,0.580625
