dataset,n,n_complete_wrong,base_plurality_accuracy,real_extended_plurality_accuracy,completed_only_control_accuracy,real_repairs_point,real_repairs_tie_lower,real_repairs_tie_upper,real_repair_ci95,control_repairs_point,control_repairs_tie_lower,control_repairs_tie_upper,control_repair_ci95,real_repairs_using_no_extra_tokens,control_censored_chain_rate
all,800,1,0.5025,0.87375,0.3325,0,0,0,"[0.000,0.975]",0,0,0,"[0.000,0.975]",0,0.8328125
gsm8k,400,1,0.705,0.92,0.5575,0,0,0,"[0.000,0.975]",0,0,0,"[0.000,0.975]",0,0.7075
math,400,0,0.3,0.8275,0.1075,0,0,0,"[0.000,1.000]",0,0,0,"[0.000,1.000]",0,0.958125
