budget,n_records,expected_n_chains,expected_max_new_tokens,n_chain_outputs,mean_generated_tokens,max_generated_tokens,hit_max_fraction,over_max_count,bad_budget_metadata_records,bad_chain_count_records
short,800,3,128,2400,127.99916666666667,128,0.9995833333333334,0,0,0
medium,800,1,384,800,317.605,384,0.3925,0,0,0
long,800,1,768,800,393.95375,768,0.11375,0,0,0
medium512,800,1,512,800,354.7725,512,0.21875,0,0,0
long1024,800,1,1024,800,417.69375,1024,0.075,0,0,0
sample,800,4,256,3200,245.4875,256,0.7453125,0,0,0
medium_sample8,800,8,384,6400,316.92484375,384,0.38734375,0,0,0
long_sample8,800,8,768,6400,396.52078125,768,0.124375,0,0,0
xlong_sample8,800,8,1536,6400,450.44484375,1536,0.0396875,0,0,0
