group,n,exact_equal_rate,a_is_prefix_rate,mean_lcp_ratio,min_lcp_ratio,n_divergent
all,800,0.9525,0.9525,0.9901739328411354,0.5113693784739768,38
medium_complete,486,1.0,1.0,1.0,1.0,0
medium_truncated,314,0.8789808917197452,0.8789808917197452,0.9749654339901537,0.5113693784739768,38
dataset=gsm8k,400,0.995,0.995,0.9994764544997383,0.8409415121255349,2
dataset=math,400,0.91,0.91,0.9808714111825324,0.5113693784739768,36
