n_problems_per_seed,eligible_rate,n_seeds,expected_eligible,zero_repairs_upper_95
800,0.02125,1,17.0,0.19506432296909326
800,0.02125,3,51.0,0.06977703074953867
800,0.02125,5,85.0,0.042470339911249155
