dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,maj_acc_delta,maj_acc_delta_ci95,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,800,0.61765625,0.7,0.015,0.82125,0.20359375,"[0.181,0.227]",0.86125,0.16125,"[0.135,0.188]",0.01125,0.86125,0.86375,0.1625,"[0.138,0.190]",0.00125,"[0.000,0.007]",0.26,10,0.0,0,0,0,0.0,0.0,"[0.000,0.308]",0.0,"[0.000,0.308]",0.9,0.0,0.1,0.0,130
gsm8k,400,0.8565625,0.915,0.025,0.960625,0.1040625,"[0.082,0.128]",0.9775,0.0625,"[0.037,0.087]",0.0025,0.9775,0.9775,0.065,"[0.043,0.094]",0.0025,"[0.000,0.014]",0.045,5,0.0,0,0,0,0.0,0.0,"[0.000,0.522]",0.0,"[0.000,0.522]",0.5769230769230769,0.0,0.4230769230769231,0.0,26
math,400,0.37875,0.485,0.005,0.681875,0.303125,"[0.267,0.341]",0.745,0.26,"[0.217,0.302]",0.02,0.745,0.75,0.26,"[0.218,0.306]",0.0,"[0.000,0.009]",0.475,5,0.0,0,0,0,0.0,0.0,"[0.000,0.522]",0.0,"[0.000,0.522]",0.9807692307692307,0.0,0.019230769230769232,0.0,104
