dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,maj_acc_delta,maj_acc_delta_ci95,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,800,0.61375,0.61375,0.0,0.82125,0.2075,"[0.181,0.235]",0.86125,0.2475,"[0.219,0.279]",0.01125,0.86125,0.86375,0.2475,"[0.218,0.279]",0.0,"[0.000,0.005]",0.3925,20,0.1,2,2,2,0.1,0.1,"[0.012,0.317]",0.2,"[0.057,0.437]",0.98989898989899,0.010101010101010102,0.0,0.0,198
gsm8k,400,0.85,0.85,0.0,0.960625,0.110625,"[0.080,0.144]",0.9775,0.1275,"[0.095,0.163]",0.0025,0.9775,0.9775,0.1275,"[0.096,0.164]",0.0,"[0.000,0.009]",0.1825,8,0.125,1,1,1,0.125,0.125,"[0.003,0.527]",0.25,"[0.032,0.651]",0.9803921568627451,0.0196078431372549,0.0,0.0,51
math,400,0.3775,0.3775,0.0,0.681875,0.304375,"[0.263,0.347]",0.745,0.3675,"[0.320,0.415]",0.02,0.745,0.75,0.3675,"[0.320,0.417]",0.0,"[0.000,0.009]",0.6025,12,0.08333333333333333,1,1,1,0.08333333333333333,0.08333333333333333,"[0.002,0.385]",0.16666666666666666,"[0.021,0.484]",0.9931972789115646,0.006802721088435374,0.0,0.0,147
