dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,maj_acc_delta,maj_acc_delta_ci95,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,800,0.82125,0.86125,0.01125,0.86859375,0.04734375,"[0.034,0.061]",0.90375,0.0425,"[0.026,0.059]",0.02625,0.90125,0.90875,0.04875,"[0.035,0.066]",0.00625,"[0.002,0.015]",0.0725,17,0.058823529411764705,1,1,1,0.058823529411764705,0.058823529411764705,"[0.001,0.287]",0.11764705882352941,"[0.015,0.364]",0.7435897435897436,0.02564102564102564,0.23076923076923078,0.0,39
gsm8k,400,0.960625,0.9775,0.0025,0.95875,-0.001875,"[-0.008,0.004]",0.9725,-0.005,"[-0.013,0.000]",0.0025,0.9725,0.9725,0.0,"[0.000,0.009]",0.005,"[0.001,0.018]",0.0,6,0.0,0,0,0,0.0,0.0,"[0.000,0.459]",0.0,"[0.000,0.459]",,,,,0
math,400,0.681875,0.745,0.02,0.7784375,0.0965625,"[0.072,0.122]",0.835,0.09,"[0.060,0.120]",0.05,0.83,0.845,0.0975,"[0.070,0.131]",0.0075,"[0.002,0.022]",0.145,11,0.09090909090909091,1,1,1,0.09090909090909091,0.09090909090909091,"[0.002,0.413]",0.18181818181818182,"[0.023,0.518]",0.7435897435897436,0.02564102564102564,0.23076923076923078,0.0,39
