dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,maj_acc_delta,maj_acc_delta_ci95,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,800,0.820625,0.8625,0.01125,0.868125,0.0475,"[0.036,0.060]",0.89875,0.03625,"[0.024,0.050]",0.02375,0.89375,0.90625,0.03625,"[0.024,0.052]",0.0,"[0.000,0.005]",0.06625,18,0.0,0,0,0,0.0,0.0,"[0.000,0.185]",0.0,"[0.000,0.185]",0.8275862068965517,0.0,0.1724137931034483,0.0,29
gsm8k,400,0.959375,0.9725,0.0025,0.959375,0.0,"[0.000,0.000]",0.9725,0.0,"[0.000,0.000]",0.0025,0.9725,0.975,0.0,"[0.000,0.009]",0.0,"[0.000,0.009]",0.0,6,0.0,0,0,0,0.0,0.0,"[0.000,0.459]",0.0,"[0.000,0.459]",,,,,0
math,400,0.681875,0.7525,0.02,0.776875,0.095,"[0.073,0.118]",0.825,0.0725,"[0.048,0.098]",0.045,0.815,0.8375,0.0725,"[0.049,0.102]",0.0,"[0.000,0.009]",0.1325,12,0.0,0,0,0,0.0,0.0,"[0.000,0.265]",0.0,"[0.000,0.265]",0.8275862068965517,0.0,0.1724137931034483,0.0,29
