dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,maj_acc_delta,maj_acc_delta_ci95,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,800,0.66921875,0.7725,0.115,0.680625,0.01140625,"[0.008,0.015]",0.77625,0.00375,"[-0.004,0.011]",0.11875,0.76375,0.805,0.00875,"[0.004,0.018]",0.005,"[0.001,0.013]",0.0125,32,0.0,0,0,0,0.0,0.0,"[0.000,0.109]",0.0,"[0.000,0.109]",0.14285714285714285,0.0,0.8571428571428571,0.0,7
gsm8k,400,0.8584375,0.94,0.0275,0.8590625,0.000625,"[0.000,0.002]",0.9375,-0.0025,"[-0.007,0.000]",0.03,0.9275,0.955,0.0,"[0.000,0.009]",0.0025,"[0.000,0.014]",0.0,7,0.0,0,0,0,0.0,0.0,"[0.000,0.410]",0.0,"[0.000,0.410]",,,,,0
math,400,0.48,0.605,0.2025,0.5021875,0.0221875,"[0.015,0.030]",0.615,0.01,"[-0.005,0.025]",0.2075,0.6,0.655,0.0175,"[0.007,0.036]",0.0075,"[0.002,0.022]",0.025,25,0.0,0,0,0,0.0,0.0,"[0.000,0.137]",0.0,"[0.000,0.137]",0.14285714285714285,0.0,0.8571428571428571,0.0,7
