dataset,n,base_pass1,base_maj_acc,base_maj_tie_rate,ext_pass1,pass1_delta,pass1_delta_ci95,ext_maj_acc,ext_maj_tie_rate,ext_maj_acc_tie_lower,ext_maj_acc_tie_upper,helpful_maj_rate,helpful_maj_ci95,harm_maj_rate,harm_maj_ci95,base_trunc_rate,n_complete_wrong,repair_rate_maj,repair_count_maj,repair_count_maj_tie_lower,repair_count_maj_tie_upper,repair_rate_maj_tie_lower,repair_rate_maj_tie_upper,repair_rate_maj_ci95,repair_rate_any,repair_rate_any_ci95,helpful_from_truncated,helpful_from_complete_wrong,helpful_from_mixed,helpful_from_complete_other,helpful_taxonomy_n
all,60,0.035416666666666666,0.08333333333333333,0.2,0.10208333333333333,0.06666666666666667,"[0.027,0.110]",0.15,0.5,0.13333333333333333,0.21666666666666667,0.06666666666666667,"[0.018,0.162]",0.0,"[0.000,0.060]",0.48333333333333334,1,0.0,0,0,0,0.0,0.0,"[0.000,0.975]",0.0,"[0.000,0.975]",0.75,0.0,0.25,0.0,4
aime,60,0.035416666666666666,0.08333333333333333,0.2,0.10208333333333333,0.06666666666666667,"[0.027,0.110]",0.15,0.5,0.13333333333333333,0.21666666666666667,0.06666666666666667,"[0.018,0.162]",0.0,"[0.000,0.060]",0.48333333333333334,1,0.0,0,0,0,0.0,0.0,"[0.000,0.975]",0.0,"[0.000,0.975]",0.75,0.0,0.25,0.0,4
